L,W,J2,scaled_ipr,hilbert_dim
8,0.5,0.0,3.1081675309721892,70.0
8,1.0,0.0,3.2318165502142238,70.0
8,1.5,0.0,3.980151184374092,70.0
8,2.0,0.0,5.254424964778241,70.0
8,2.5,0.0,7.21575242737435,70.0
8,3.0,0.0,9.419512446101393,70.0
8,3.5,0.0,12.131374876794075,70.0
8,4.0,0.0,14.487726489437543,70.0
8,4.5,0.0,17.098526547044145,70.0
8,5.0,0.0,19.38084678113003,70.0
8,5.5,0.0,21.710861932430518,70.0
8,6.0,0.0,23.683721397016875,70.0
8,6.5,0.0,25.308915887126158,70.0
8,7.0,0.0,27.443546469107964,70.0
8,7.5,0.0,29.070296159868235,70.0
8,8.0,0.0,30.546918758049546,70.0
10,0.5,0.0,3.259133653046242,252.0
10,1.0,0.0,3.6223478078362343,252.0
10,1.5,0.0,4.779911704308375,252.0
10,2.0,0.0,7.3387640387606075,252.0
10,2.5,0.0,11.790075405590697,252.0
10,3.0,0.0,17.480921593071457,252.0
10,3.5,0.0,23.948961270813356,252.0
10,4.0,0.0,31.29097243132282,252.0
10,4.5,0.0,39.19772255464649,252.0
10,5.0,0.0,46.481073757705715,252.0
10,5.5,0.0,53.35767368926026,252.0
10,6.0,0.0,60.98634400711222,252.0
10,6.5,0.0,67.4765807853981,252.0
10,7.0,0.0,74.35353573113476,252.0
10,7.5,0.0,81.01898704783352,252.0
10,8.0,0.0,86.54136511609192,252.0
12,0.5,0.0,3.336624457169203,924.0
12,1.0,0.0,3.5880102769640976,924.0
12,1.5,0.0,4.901028216377463,924.0
12,2.0,0.0,9.01680060447705,924.0
12,2.5,0.0,17.91378220314375,924.0
12,3.0,0.0,32.685215361575516,924.0
12,3.5,0.0,51.47810512282219,924.0
12,4.0,0.0,73.36203602019249,924.0
12,4.5,0.0,97.26251073424412,924.0
12,5.0,0.0,120.58117298471983,924.0
12,5.5,0.0,144.6144409323295,924.0
12,6.0,0.0,167.43041485765988,924.0
12,6.5,0.0,191.70314996918944,924.0
12,7.0,0.0,215.04721867879212,924.0
12,7.5,0.0,237.77259569484406,924.0
12,8.0,0.0,257.8700702874722,924.0
14,0.5,0.0,3.195116474111734,3432.0
14,1.0,0.0,3.3848117326681946,3432.0
14,1.5,0.0,4.334414288102527,3432.0
14,2.0,0.0,8.703784506993577,3432.0
14,2.5,0.0,23.420349452652264,3432.0
14,3.0,0.0,55.2397857794966,3432.0
14,3.5,0.0,104.86159340399303,3432.0
14,4.0,0.0,167.50234829129838,3432.0
14,4.5,0.0,238.6232527182044,3432.0
14,5.0,0.0,313.705661688345,3432.0
14,5.5,0.0,389.398747546739,3432.0
14,6.0,0.0,468.97941123276127,3432.0
14,6.5,0.0,550.4455958259811,3432.0
14,7.0,0.0,627.7904373984312,3432.0
14,7.5,0.0,702.7382041584292,3432.0
14,8.0,0.0,777.1145539071329,3432.0
8,0.5,0.5,3.1960863711200274,70.0
8,1.0,0.5,3.235362698249675,70.0
8,1.5,0.5,3.755878717765874,70.0
8,2.0,0.5,4.657886589204247,70.0
8,2.5,0.5,5.676584261482183,70.0
8,3.0,0.5,7.012376660605645,70.0
8,3.5,0.5,8.776027610593685,70.0
8,4.0,0.5,10.351374496160929,70.0
8,4.5,0.5,11.997527171659463,70.0
8,5.0,0.5,14.014352348171153,70.0
8,5.5,0.5,15.91717637444125,70.0
8,6.0,0.5,17.35193465470561,70.0
8,6.5,0.5,18.945777252838695,70.0
8,7.0,0.5,20.602222235186794,70.0
8,7.5,0.5,22.110954078218523,70.0
8,8.0,0.5,23.465183254952937,70.0
10,0.5,0.5,3.2160197151247285,252.0
10,1.0,0.5,3.4473119055554085,252.0
10,1.5,0.5,4.155544967577041,252.0
10,2.0,0.5,5.4954656601295495,252.0
10,2.5,0.5,7.319769393457585,252.0
10,3.0,0.5,10.263294919906006,252.0
10,3.5,0.5,13.876181061630074,252.0
10,4.0,0.5,18.36498128573843,252.0
10,4.5,0.5,23.25302957648838,252.0
10,5.0,0.5,28.107547959224462,252.0
10,5.5,0.5,33.478000200375924,252.0
10,6.0,0.5,38.79527625680372,252.0
10,6.5,0.5,44.13375749793879,252.0
10,7.0,0.5,49.267535402075204,252.0
10,7.5,0.5,53.99727717644727,252.0
10,8.0,0.5,59.072693015227856,252.0
12,0.5,0.5,3.2381950346850723,924.0
12,1.0,0.5,3.4146139939990845,924.0
12,1.5,0.5,3.9819788783141137,924.0
12,2.0,0.5,5.357540197820025,924.0
12,2.5,0.5,8.433947128475946,924.0
12,3.0,0.5,13.693523591961167,924.0
12,3.5,0.5,22.105598122830408,924.0
12,4.0,0.5,32.44175551858515,924.0
12,4.5,0.5,45.25710866710803,924.0
12,5.0,0.5,59.08934920866544,924.0
12,5.5,0.5,75.67949625009274,924.0
12,6.0,0.5,91.68658129962408,924.0
12,6.5,0.5,108.25240779079807,924.0
12,7.0,0.5,125.90347475770015,924.0
12,7.5,0.5,142.47450345359172,924.0
12,8.0,0.5,158.46250363942892,924.0
14,0.5,0.5,3.149221524899736,3432.0
14,1.0,0.5,3.292314150491309,3432.0
14,1.5,0.5,3.6888747521535623,3432.0
14,2.0,0.5,4.769972433715975,3432.0
14,2.5,0.5,7.621534122355983,3432.0
14,3.0,0.5,14.68627510304526,3432.0
14,3.5,0.5,28.765679038611026,3432.0
14,4.0,0.5,51.07627768923829,3432.0
14,4.5,0.5,81.69530377970194,3432.0
14,5.0,0.5,119.44511186586435,3432.0
14,5.5,0.5,161.52587258477053,3432.0
14,6.0,0.5,210.7529684203865,3432.0
14,6.5,0.5,262.51066544381735,3432.0
14,7.0,0.5,313.59484679797595,3432.0
14,7.5,0.5,369.08443589407756,3432.0
14,8.0,0.5,425.2782688140359,3432.0
